Congress,House Majority,Senate Majority,Presidency,Party Government,start_year,end_year,year,Presidency_party
102nd (1991–1993),Democrats,Democrats,Republican (G.H.W. Bush),Divided,1991,1993,1991,Republican
102nd (1991–1993),Democrats,Democrats,Republican (G.H.W. Bush),Divided,1991,1993,1992,Republican
102nd (1991–1993),Democrats,Democrats,Republican (G.H.W. Bush),Divided,1991,1993,1993,Republican
103rd (1993–1995),Democrats,Democrats,Democrat (Clinton),Unified,1993,1995,1993,Democrat
103rd (1993–1995),Democrats,Democrats,Democrat (Clinton),Unified,1993,1995,1994,Democrat
103rd (1993–1995),Democrats,Democrats,Democrat (Clinton),Unified,1993,1995,1995,Democrat
104th (1995–1997),Republicans,Republicans,Democrat (Clinton),Divided,1995,1997,1995,Democrat
104th (1995–1997),Republicans,Republicans,Democrat (Clinton),Divided,1995,1997,1996,Democrat
104th (1995–1997),Republicans,Republicans,Democrat (Clinton),Divided,1995,1997,1997,Democrat
105th (1997–1999),Republicans,Republicans,Democrat (Clinton),Divided,1997,1999,1997,Democrat
105th (1997–1999),Republicans,Republicans,Democrat (Clinton),Divided,1997,1999,1998,Democrat
105th (1997–1999),Republicans,Republicans,Democrat (Clinton),Divided,1997,1999,1999,Democrat
106th (1999–2001),Republicans,Republicans,Democrat (Clinton),Divided,1999,2001,1999,Democrat
106th (1999–2001),Republicans,Republicans,Democrat (Clinton),Divided,1999,2001,2000,Democrat
106th (1999–2001),Republicans,Republicans,Democrat (Clinton),Divided,1999,2001,2001,Democrat
107th (2001–2003),Republicans,Republicans / Democrats12,Republican (G.W. Bush),Unified / Divided,2001,2003,2001,Republican
107th (2001–2003),Republicans,Republicans / Democrats12,Republican (G.W. Bush),Unified / Divided,2001,2003,2002,Republican
107th (2001–2003),Republicans,Republicans / Democrats12,Republican (G.W. Bush),Unified / Divided,2001,2003,2003,Republican
108th (2003–2005),Republicans,Republicans,Republican (G.W. Bush),Unified,2003,2005,2003,Republican
108th (2003–2005),Republicans,Republicans,Republican (G.W. Bush),Unified,2003,2005,2004,Republican
108th (2003–2005),Republicans,Republicans,Republican (G.W. Bush),Unified,2003,2005,2005,Republican
109th (2005–2007),Republicans,Republicans,Republican (G.W. Bush),Unified,2005,2007,2005,Republican
