year,coll,indi,loose,tight
1902,0.00012483717512168369,8.413386466697504e-05,7.525167871117199e-06,1.1776175316364454e-05
1903,0.00012444801201841722,8.385229488843443e-05,7.50310325632519e-06,1.1926562210565602e-05
1904,0.00012490733383531606,8.359890077664595e-05,7.468682092711339e-06,1.202302606106035e-05
1905,0.00012316730171083433,8.42354511486779e-05,7.438817182865015e-06,1.200210347209106e-05
1906,0.00012362453407734265,8.498756499518225e-05,7.445731001141832e-06,1.2122181148908694e-05
1907,0.00012246978284175775,8.557894817938306e-05,7.443811300427367e-06,1.2183646939537394e-05
1908,0.00012246110421593973,8.590245976490352e-05,7.44052417054737e-06,1.2229518534821539e-05
1909,0.00012226148170871708,8.725791947686698e-05,7.418293121305212e-06,1.2292068381317529e-05
1910,0.0001222068764751124,8.83052128943161e-05,7.42433340607529e-06,1.2232449165188493e-05
1911,0.00012184802103222733,8.930456747537261e-05,7.430527212110018e-06,1.2269159734503074e-05
1912,0.00012265200463649047,8.978825397727113e-05,7.46182571823533e-06,1.2346428744842389e-05
1913,0.00012257398649191082,9.084750372169636e-05,7.476575034750878e-06,1.232652454703498e-05
1914,0.0001232609692384098,9.160792367473341e-05,7.57685134844136e-06,1.23388023703898e-05
1915,0.00012234814364221944,9.289781230238858e-05,7.704732819438313e-06,1.231867239042117e-05
1916,0.00012203751183343617,9.386895846676324e-05,7.841736845677034e-06,1.2155024136108393e-05
1917,0.00012050476131467543,9.481324289189226e-05,7.915035167569653e-06,1.2018724355198987e-05
1918,0.00012051391799364604,9.52757387316134e-05,7.954723704924854e-06,1.1820241931711656e-05
1919,0.00011860547484080338,9.627831032535791e-05,7.956154755426762e-06,1.1573032260768298e-05
1920,0.00011811894129972905,9.631883042564888e-05,7.953955530970645e-06,1.1371053520191154e-05
1921,0.00011748047788679678,9.797640360277778e-05,7.925368179565306e-06,1.1172388963335118e-05
1922,0.00011763795721922828,9.799392909469264e-05,7.814527882995684e-06,1.0958779099315816e-05
1923,0.00011736500900789388,9.844183900245948e-05,7.754841263801572e-06,1.0809919278744118e-05
1924,0.00011756678610806506,9.812012124906948e-05,7.715677186966031e-06,1.0680165496726853e-05
1925,0.00011603127355946138,9.825106650396265e-05,7.680588111411939e-06,1.057107865689894e-05
1926,0.0001167498003594249,9.86625484041984e-05,7.710487246616922e-06,1.0413188472162866e-05
1927,0.00011598180686535539,9.941333032007345e-05,7.720882077206464e-06,1.0299587177544013e-05
1928,0.00011559843723521875,9.814333621501907e-05,7.673156895616048e-06,1.0203729051332693e-05
1929,0.00011484369923664418,9.885680326858295e-05,7.728258888038087e-06,1.0260972208391602e-05
1930,0.00011424045669627957,9.821121877199142e-05,7.757564684052593e-06,1.0307476190263289e-05
1931,0.0001130595781790232,9.898228561918847e-05,7.825863594379536e-06,1.04074348864661e-05
1932,0.00011398614026347785,9.98391295589889e-05,7.974571465671881e-06,1.0489340274842465e-05
1933,0.00011252031171287463,0.00010032440270281638,8.089862215136602e-06,1.0644791301319044e-05
1934,0.00011238459757123564,0.00010076132684844198,8.218143422005141e-06,1.0760918693415126e-05
1935,0.00011040333543275795,0.00010177503143690307,8.367156362004295e-06,1.0844879694411296e-05
1936,0.00011092846113212675,0.00010229171383408746,8.507904715734134e-06,1.0916171292103223e-05
1937,0.0001090636285912946,0.00010321470559964446,8.61506198913953e-06,1.09134923688105e-05
1938,0.00010909848342472675,0.00010344188720929587,8.759810053665662e-06,1.0956880836587857e-05
1939,0.0001063906434036913,0.00010398665930162159,8.887929691813893e-06,1.0891855024602089e-05
1940,0.0001059218694682126,0.00010465836612638668,9.061339171947166e-06,1.0868640064336837e-05
1941,0.00010406071610954573,0.00010546235934530808,9.229317665201767e-06,1.0838508959665205e-05
1942,0.0001043354996974293,0.00010667464740825899,9.433643975290713e-06,1.0810076668172592e-05
1943,0.00010161412317951804,0.00010777733661728104,9.539294546739258e-06,1.0692049089046557e-05
1944,0.00010168736550245478,0.00010935233126474486,9.730703286893459e-06,1.0630236415565267e-05
1945,0.00010057664531716779,0.00011110308985605246,9.849151122863896e-06,1.055096415645908e-05
1946,0.00010158989257596269,0.00011139699108753122,9.963819269025177e-06,1.0605325979540227e-05
1947,0.00010051259542771213,0.000111992688029464,1.0032526277702862e-05,1.0491236615907592e-05
1948,0.00010039496886195466,0.00011291657168450392,1.0096887609779245e-05,1.0416845694395858e-05
1949,9.910236911179838e-05,0.00011344739933909814,1.0166911263675974e-05,1.034265835454359e-05
1950,9.939277288140146e-05,0.0001142160105506004,1.0316750647118172e-05,1.0259286173968414e-05
1951,9.829157608010065e-05,0.00011455045517193087,1.035189726590018e-05,1.0199626718941446e-05
1952,9.785959787222966e-05,0.00011517884286149638,1.0452869503712364e-05,1.0071926198459581e-05
1953,9.581100511013574e-05,0.00011682110990867451,1.0540553031371647e-05,9.85661088017358e-06
1954,9.603495456238826e-05,0.00011781122874968526,1.0612618524052142e-05,9.844590700985073e-06
1955,9.481195491746671e-05,0.0001180064789098521,1.0752199076186076e-05,9.754920549706216e-06
1956,9.399581010224468e-05,0.00011855289773978128,1.0887997253958677e-05,9.707167398330188e-06
1957,9.208284831174751e-05,0.00011845777284439203,1.102649698172769e-05,9.679263257262555e-06
1958,9.09031483696968e-05,0.00011840510975551817,1.1265658653784674e-05,9.596602110560427e-06
1959,8.896555084447753e-05,0.00011771166587745289,1.1424061036124132e-05,9.532920041164874e-06
1960,8.81553020073105e-05,0.00011712811020255946,1.1589230475092135e-05,9.5512612883145e-06
1961,8.603396370939922e-05,0.0001168004025657865,1.178456305495544e-05,9.450182063375222e-06
1962,8.579425182883175e-05,0.00011674371619717152,1.1938582726046217e-05,9.461533064479356e-06
1963,8.480564685799306e-05,0.00011695531000961117,1.2100899070779542e-05,9.414444087545754e-06
1964,8.53358444926146e-05,0.00011785847885091372,1.2296559454734657e-05,9.44761262157304e-06
1965,8.498849171343992e-05,0.00011886817147959456,1.24333379478671e-05,9.485454959141343e-06
1966,8.529866785725712e-05,0.0001202764133592739,1.2615876132767076e-05,9.529019477838575e-06
1967,8.501925287873747e-05,0.00012172965242435957,1.2802894887859696e-05,9.579365318757027e-06
1968,8.562764736552708e-05,0.00012302339437805391,1.2995230320017592e-05,9.726758960328293e-06
1969,8.455759075332026e-05,0.0001247028886025094,1.3170035961963218e-05,9.828415154191005e-06
1970,8.442318235373543e-05,0.00012581900234311306,1.335161732436339e-05,9.997775982079865e-06
1971,8.286411455823586e-05,0.0001267891061291136,1.3511535787590662e-05,1.0097763675836239e-05
1972,8.193500882823302e-05,0.00012742551442508038,1.368067651769429e-05,1.0235611120533252e-05
1973,8.076980821312774e-05,0.00012796638991728417,1.3823712629358018e-05,1.038757211456901e-05
1974,7.979117732150242e-05,0.0001281103076118078,1.4000056986998179e-05,1.0479197978189143e-05
1975,7.815466822031728e-05,0.00012868168521760839,1.4160006731230221e-05,1.0517864484630276e-05
1976,7.731436854133529e-05,0.00012838418914335695,1.4347501620332836e-05,1.05368385831639e-05
1977,7.549732055979672e-05,0.00012838844986617914,1.4545423336235052e-05,1.0466034147782464e-05
1978,7.444612300235218e-05,0.00012813927709690427,1.4692817455770019e-05,1.0416247717362888e-05
1979,7.285708596376545e-05,0.00012781246326604948,1.4840704744177394e-05,1.0359497361735393e-05
1980,7.141976629603569e-05,0.00012724652603018124,1.5048888345417906e-05,1.0274539481055659e-05
1981,6.96402565227215e-05,0.0001269222926306871,1.5198186822331018e-05,1.015719418770037e-05
1982,6.844663937093693e-05,0.00012590889053041922,1.532180532817229e-05,1.0099207710011018e-05
1983,6.68140124722478e-05,0.00012585814446148494,1.5525082236966807e-05,1.0024479463563044e-05
1984,6.622082158612232e-05,0.0001257972957254034,1.5647033156152013e-05,1.0019523063574201e-05
1985,6.543313391002163e-05,0.00012600929475021467,1.5858383640313503e-05,9.999009421944397e-06
1986,6.489507537058412e-05,0.0001262989426972386,1.601408083596719e-05,9.909627742794264e-06
1987,6.444649870575501e-05,0.00012694908238180297,1.6237788703286702e-05,9.861955827464696e-06
1988,6.445534956713216e-05,0.0001277606318451165,1.6473313227414823e-05,9.886574259253068e-06
1989,6.399010586782034e-05,0.0001292944875136267,1.676021840149668e-05,9.852144423762507e-06
1990,6.400733937133347e-05,0.000130459852048911,1.696145316085751e-05,9.81601012698872e-06
1991,6.348916524854887e-05,0.0001317216395234157,1.722869263295187e-05,9.770048522536203e-06
1992,6.363192307747211e-05,0.0001328303116809236,1.7450623406799003e-05,9.80062105376029e-06
1993,6.367239693970208e-05,0.0001347235560647927,1.7793084805704594e-05,9.869921516423932e-06
1994,6.412081648120096e-05,0.0001371699281012947,1.809143200621755e-05,9.940081306833041e-06
1995,6.424451091951205e-05,0.00013923447386332555,1.8365134311440887e-05,1.0035411717979057e-05
1996,6.488831852331195e-05,0.00014152865397980868,1.8656919871376918e-05,1.0123713407088935e-05
1997,6.538003663081328e-05,0.00014434547535659346,1.8869604425576973e-05,1.0194203902155356e-05
1998,6.62621661311797e-05,0.00014708813036382447,1.903830859706674e-05,1.0254621944787755e-05
1999,6.630925727384758e-05,0.00015005883382660353,1.9283037593258765e-05,1.0225537242547488e-05
2000,6.685782883713338e-05,0.0001530684315704483,1.943645467650563e-05,1.0207682653426025e-05
2001,6.709515536483326e-05,0.00015550567650279845,1.951364467421358e-05,1.0158401228060098e-05
2002,6.761684405124209e-05,0.00015843303221377676,1.9513613259552238e-05,1.0037469880330717e-05
2003,6.786297943303258e-05,0.00016062868157210426,1.9505812954896076e-05,9.935032923432835e-06
2004,6.791346402224006e-05,0.00016274018402587638,1.9564543508598934e-05,9.848364160396678e-06
2005,6.825180296183525e-05,0.00016527397117118068,1.9678264238473127e-05,9.820771196546372e-06
2006,6.914717949614766e-05,0.0001689970002059584,1.962606305681648e-05,9.697001936867117e-06
2007,6.936431030421122e-05,0.0001733153665424782,1.9908494600352963e-05,9.55447313007848e-06
2008,6.920238871543917e-05,0.000177982191287031,2.0014730082484887e-05,9.280716725815607e-06
2009,6.837049742866188e-05,0.0001805216004738343,2.0091277423071672e-05,8.949711589220245e-06
2010,6.745647468570887e-05,0.0001836039391491795,2.0151776122080884e-05,8.590211699401249e-06
2011,6.7318370115897e-05,0.0001875948305496422,2.0179989552003365e-05,8.267878252407205e-06
2012,6.648874436418087e-05,0.00019086420986371065,2.020771778113201e-05,7.856445135904063e-06
2013,6.5200942539637e-05,0.00019251041359374152,2.034954395557469e-05,7.573851688594655e-06
2014,6.43065972911115e-05,0.00019287169568217775,2.0092152337644215e-05,7.255257444021319e-06
2015,6.40422357735458e-05,0.00019189350885946105,2.0012573160041063e-05,7.125520760402942e-06
2016,6.421202665153811e-05,0.00019328284601475128,2.0068125528111782e-05,7.035082250642487e-06
2017,6.442152222992566e-05,0.00019431268818455769,2.0090090278427707e-05,6.995597881598314e-06
2018,6.413177213744349e-05,0.0001937812823598506,2.0152119425729254e-05,6.955429965955772e-06
2019,6.385636555705787e-05,0.00019337233391070185,2.016292282339682e-05,6.927138172052594e-06
