,year,rural,obliged,give,act,obedience,authority,belong,pray,mean
126,1926,4.3860939643179465e-05,1.8923876788384015e-05,0.000308798484703792,0.0003880198429604726,7.314833185643822e-06,0.0001325529280750613,2.3964035790413618e-05,1.056346172845224e-05,0.0001167498003594249
127,1927,4.498885235599508e-05,1.8775265873825576e-05,0.000306966677141775,0.00038243384499635013,7.264326801045432e-06,0.00013313072018458376,2.3863391626426684e-05,1.0431375942841572e-05,0.00011598180686535539
128,1928,4.5820440781036655e-05,1.8493600042087826e-05,0.0003010837577416429,0.00038621433694580834,7.017179476471418e-06,0.00013238301575516483,2.3605833900676642e-05,1.0169333238861458e-05,0.00011559843723521875
129,1929,4.70743995850041e-05,1.8261197640510674e-05,0.00029971724559020786,0.0003790375485550612,6.970540393272781e-06,0.0001341386793813269,2.3553540813736618e-05,9.996441934033231e-06,0.00011484369923664418
130,1930,4.860116522260276e-05,1.764437105781066e-05,0.00029438644664229026,0.00037861091966208605,6.673054226017225e-06,0.00013506129367410073,2.3087758953416987e-05,9.858644131911984e-06,0.00011424045669627957
131,1931,4.8732090363046154e-05,1.7304147539627074e-05,0.00029336447810887227,0.00036958567631830065,6.574542957033762e-06,0.00013645748341722147,2.2823964172857814e-05,9.634242555226333e-06,0.0001130595781790232
132,1932,5.01488902955316e-05,1.6878836114691304e-05,0.0002920861713521715,0.0003738034242165408,6.4698275049782495e-06,0.0001400585440153788,2.2703229790619973e-05,9.740198817910692e-06,0.00011398614026347785
133,1933,5.15690007887315e-05,1.647542480246297e-05,0.00028946043624143513,0.00036164298320987394,6.324312250529017e-06,0.00014275743991934827,2.2473028885932373e-05,9.459867604683886e-06,0.00011252031171287463
134,1934,5.2329890812481085e-05,1.6079519679936182e-05,0.00028710465163125524,0.00036121815043900696,6.228248626679747e-06,0.00014452113828156143,2.2259585291197125e-05,9.335595807767407e-06,0.00011238459757123564
135,1935,5.4030103845954205e-05,1.5549407570298562e-05,0.00028705899603664875,0.00034272059981179027,6.2639431104928785e-06,0.00014598944523770894,2.2256495088056128e-05,9.357692761113867e-06,0.00011040333543275795
136,1936,5.3963200895980534e-05,1.4925110008334741e-05,0.00028565638682006726,0.0003460952097416988,6.1571796712606945e-06,0.00014942520231540714,2.20391053257377e-05,9.166294278527079e-06,0.00011092846113212675
137,1937,5.389026461801093e-05,1.4576919706347066e-05,0.00028549525969927866,0.000331007077225617,6.1726485520401705e-06,0.00015032152961274342,2.2066160974126043e-05,8.979168342193589e-06,0.0001090636285912946
138,1938,5.428616038573507e-05,1.3925206076237373e-05,0.00028273556381464005,0.0003333380196376571,6.037461844243808e-06,0.0001520935890896778,2.173107402216244e-05,8.640792527460559e-06,0.00010909848342472675
