Year_x,GDP per capita,Year_y,indi_%,coll_%,tight_%,loose_%,year
1961,18175.0,1961,0.5216964764545712,0.1947833806726179,0.0361845428959551,0.0455545259608982,1961
1962,18976.0,1962,0.5333406522153055,0.1993594834699048,0.0308422260608233,0.0426096159816936,1962
1963,19514.0,1963,0.4957582908497766,0.1941940319145754,0.0371049310979635,0.0498922613244813,1963
1964,20360.0,1964,0.5385643320011344,0.2034164655225242,0.0359612948156354,0.04931020345922,1964
1965,21390.0,1965,0.5614134824428757,0.2013093504199849,0.0311282006753181,0.0426784014522124,1965
1966,22529.0,1966,0.5868329556856846,0.2135987506852766,0.0342101534017631,0.0448024184717651,1966
1967,22842.0,1967,0.5351421864907222,0.1990703000693026,0.0372958241302276,0.058792959722216,1967
1968,23691.0,1968,0.5604820305757353,0.1990181546064814,0.0410438033980725,0.0514207567751803,1968
1969,24195.0,1969,0.5989259000911314,0.2013838359285865,0.038875354213067,0.0538791823665827,1969
1970,23958.0,1970,0.5404132407846923,0.2019763306924054,0.0385537819756117,0.0541440363425336,1970
1971,24394.0,1971,0.4993729179387302,0.1917447200816694,0.0408669258659484,0.059691454709712,1971
1972,25414.0,1972,0.5587201034062796,0.1877897060146055,0.0341816895891033,0.0469474265036513,1972
1973,26602.0,1973,0.6234213099961282,0.1946517635835775,0.0291071738745981,0.0494309921686341,1973
1974,26286.0,1974,0.6474299617240306,0.2084372082910023,0.0291162287360932,0.0446532148856823,1974
1975,25956.0,1975,0.6041468480269351,0.2067364282785218,0.0417125296968308,0.0522132958792171,1975
1976,27058.0,1976,0.5808376723968417,0.1942786709916085,0.0308943453356332,0.0464414350323491,1976
1977,28001.0,1977,0.5519715861146163,0.1941495982753485,0.036059264317667,0.0532943703135689,1977
1978,29286.0,1978,0.6623728883480127,0.1829754611772309,0.0314126496290643,0.0500195953053773,1978
1979,29949.0,1979,0.631656620614854,0.1928389350376868,0.031964710313246,0.0509980586792876,1979
1980,29611.0,1980,0.5227321285045223,0.1847854470968464,0.0370079594667462,0.058288595952779,1980
1981,30056.0,1981,0.5349610429860283,0.1975007045457825,0.0303467428715538,0.0625165691696842,1981
1982,29210.0,1982,0.5122857818673995,0.1784974112956846,0.0351450313823667,0.0636724232677993,1982
1983,30158.0,1983,0.5270347340134288,0.17805117557709,0.0394584510646052,0.0689505923242329,1983
1984,32076.0,1984,0.5668771587180539,0.1917415637487216,0.0361167110889628,0.0645570480440347,1984
1985,33023.0,1985,0.6552312692878526,0.1866856067139954,0.0300887832501505,0.0543447527260402,1985
1986,33850.0,1986,0.6126473610331967,0.1830385633546693,0.0273099943080222,0.0496097340211892,1986
1987,34730.0,1987,0.5992103318788699,0.178364095325501,0.0342058325238072,0.061005172022062,1987
1988,35863.0,1988,0.6163213531920367,0.1918408192388294,0.0355260776368202,0.0573652664156655,1988
1989,36756.0,1989,0.6784530507217934,0.1986771664704086,0.027462492912905,0.0533917200924593,1989
1990,36982.0,1990,0.395068404667215,0.1807099965074751,0.0379295711705215,0.0858485145503092,1990
1991,36463.957,1991,0.4653537132119024,0.1673497773108622,0.0372874835387597,0.0739091191571845,1991
1992,37240.3,1992,0.4835761635248917,0.1538600677296931,0.031598257741294,0.0831268653300119,1992
1993,37761.535,1993,0.5588660934706734,0.1715757214607985,0.0248148463437473,0.0533540478420022,1993
1994,38807.28,1994,0.5343464798864316,0.1692050534789669,0.0386274563773324,0.0791676249665858,1994
1995,39390.625,1995,0.556585790261155,0.1589452107162008,0.0289395005308659,0.0706464277665255,1995
1996,40412.75,1996,0.4769912691626499,0.1584550541877439,0.0404719864744066,0.1022188676245338,1996
1997,41722.67,1997,0.5369558704317934,0.1546171674036969,0.0298376846283269,0.0760432372949016,1997
1998,43072.758,1998,0.5120415549379767,0.1523035214319415,0.0296546307813588,0.0740626252556879,1998
1999,44575.848,1999,0.535061114176671,0.1643559742356407,0.0266298287369139,0.0669266489049123,1999
2000,45886.47,2000,0.5094302384792112,0.1671931433364991,0.0310397705237761,0.0715295882796152,2000
2001,45878.008,2001,0.4644088107943598,0.167535740575787,0.0318756893977787,0.0786900369305906,2001
2002,46266.297,2002,0.5165739765752418,0.1568438378152364,0.0275880449808661,0.0702241144967502,2002
2003,47157.996,2003,0.4973565651787671,0.1580580776907368,0.0283019140025612,0.0740176171302652,2003
2004,48492.72,2004,0.4844596138203088,0.1591434194062041,0.0286833451035325,0.0727061738294112,2004
2005,49654.76,2005,0.4792185148516923,0.1460296064038133,0.0282570428062801,0.0660726408334502,2005
2006,50489.86,2006,0.5003429071469034,0.1529770050124107,0.0250203530949214,0.0717250122054414,2006
2007,50901.746,2007,0.4849680540192501,0.1541016478032542,0.0294545394510724,0.0788331049512142,2007
2008,50275.746,2008,0.5234732373792567,0.1626844443468185,0.0277318630869682,0.0616416164655877,2008
2009,48452.934,2009,0.5378969182431981,0.1630590280098937,0.0221405174142656,0.0497894244267664,2009
2010,49266.914,2010,0.4754823915961938,0.1634537968653884,0.0290509381301094,0.0781147447498499,2010
2011,49675.0,2011,0.4635917055984107,0.1652012292601158,0.028810783963743,0.0863353458846171,2011
